,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
287,16,97,distance,2,0.7653816696451365,0.4237600375405397,188.6335165500641
288,23,179,uniform,1,0.7390860352310442,0.4391330866121339,240.69551730155945
289,22,191,uniform,1,0.7375542507020679,0.4399636098285619,234.15351366996765
290,5,101,uniform,2,0.7641051825376564,0.42455677188893265,102.56851410865784
291,4,63,distance,2,0.7814654071993873,0.413252010944996,94.48051691055298
292,19,79,uniform,2,0.761807505744192,0.42597749933066287,212.83951783180237
293,2,45,uniform,1,0.6295634414092418,0.48292164442090807,79.71199607849121
294,3,29,uniform,1,0.6589226448812867,0.47407129521195057,87.18200063705444
295,2,47,uniform,2,0.6275210620372734,0.48346497157176327,79.95300030708313
296,4,199,distance,2,0.7725299974470258,0.41919852157602383,94.62100052833557
297,13,97,uniform,2,0.7567015573142711,0.4290737820846527,162.4815158843994
298,4,139,distance,2,0.7720194026040337,0.4195300282541699,96.77599549293518
299,None,87,distance,2,0.7666581567526168,0.42295794996346486,253.18451738357544
300,17,61,uniform,2,0.767934643860097,0.42215047864424243,190.86951208114624
301,15,73,distance,1,0.7641051825376564,0.42455677188893265,176.85651683807373
302,9,47,distance,2,0.779678325248915,0.4144635501295163,133.4615125656128
303,6,129,uniform,1,0.7589992341077355,0.4276907723245925,109.9430022239685
304,16,21,distance,1,0.773806484554506,0.41836587936386865,184.32851576805115
305,10,179,distance,1,0.7584886392647434,0.427999560012696,140.74099683761597
306,7,79,distance,2,0.7740617819760021,0.41819868443138164,119.67999649047852
307,3,163,distance,1,0.6617309165177432,0.47312060898076597,89.2449996471405
308,9,155,distance,2,0.7612969109011999,0.4262908917083385,134.5369999408722
309,19,41,uniform,2,0.774317079397498,0.4180312667143772,206.03651356697083
310,14,31,distance,2,0.7809548123563952,0.41359931505477954,169.66651725769043
311,None,133,uniform,2,0.7452131733469491,0.4357413219068385,250.52051663398743
312,15,193,distance,1,0.7526167985703345,0.43149131286744935,176.17951321601868
313,23,155,uniform,2,0.7421496042889967,0.437451219157842,238.35451745986938
314,12,163,distance,1,0.7569568547357671,0.42892094237085443,155.60899877548218
315,23,113,distance,1,0.7584886392647434,0.427999560012696,241.18452048301697
316,8,135,uniform,2,0.7523615011488384,0.4316406754905112,127.80299949645996
317,16,57,distance,2,0.7745723768189942,0.4178636259450783,185.01700019836426
318,7,155,uniform,1,0.7533826908348226,0.43104200721658753,118.75799989700317
319,8,95,uniform,2,0.762062803165688,0.42582048705639075,125.32299876213074
320,6,71,distance,1,0.7763594587694664,0.4166838724364642,108.90200328826904
321,10,119,distance,2,0.7641051825376564,0.42455677188893265,141.68699622154236
322,2,159,distance,1,0.631095225938218,0.4825080742704806,79.20499610900879
323,17,45,distance,1,0.7699770232320654,0.4208472489238261,190.99599885940552
